Date,GIV00907136,GIV00907156,GIV00907176,GIV00907196,GIV00907216,GIV00907236,GIV00907276,GIV00907296,GIV00907316,GIV00907336,GIV00907356,GIV00907376,GIV00907396,GIV00907416,GIV00907436,GIV00907456,GIV00907476,GIV00907496,GIV00907516,GIV00907536,GIV00907556,GIV00907576,GIV00907596
22/12/2016,16.11965882,16.84368951,17.51738966,18.95324617,20.02696022,21.94661126,30.43162923,39.9654189,48.91253146,55.79235262,60.1570744,63.04780976,65.05513186,66.41685478,66.63565947,65.8026491,65.41146348,64.47232721,60.27850586,57.69859304,54.10243964,51.39669267,49.66112577
21/12/2016,16.11965882,16.81958663,17.4933729,18.93938158,20.01599328,21.92430973,30.35049327,39.9654189,48.89181952,55.77927246,60.14837739,63.04201141,65.05513186,66.41685478,66.63672124,65.80367205,65.41478161,64.47232721,60.27850586,57.69859304,54.10465724,51.39717772,49.66099617
20/12/2016,16.04716886,16.79548121,17.46935257,18.9255059,20.00501641,21.90200283,30.32343952,39.88813615,48.89181952,55.76619084,60.13967909,63.03621259,65.04145282,66.41685478,66.63672124,65.80469476,65.41588724,64.47232721,60.27850586,57.70463317,54.10539643,51.39766276,49.66086657
19/12/2016,16.02300292,16.79548121,17.46935257,18.91161915,19.99402961,21.87969058,30.29638158,39.86237311,48.89181952,55.76619084,60.13097949,63.03041328,65.03689219,66.41344201,66.63672124,65.80571722,65.41699266,64.47910127,60.28254225,57.70664651,54.10613561,51.3981478,49.66086657
16/12/2016,15.9504978,16.69903502,17.37323621,18.86989253,19.98303288,21.85737298,30.24225316,39.78507764,48.78823645,55.7138498,60.10487289,63.02461349,65.02320746,66.41002532,66.64202537,65.80673943,65.41920288,64.4858742,60.28657811,57.71268639,54.10761397,51.39863284,49.66034818
15/12/2016,15.9504978,16.67491752,17.34919854,18.85596155,19.94998311,21.79038834,30.24225316,39.78507764,48.76751517,55.7007609,60.09616809,63.00721123,65.02320746,66.40888555,66.64308526,65.80980459,65.41920288,64.48813159,60.28792328,57.71268639,54.10761397,51.40008793,49.66021859
14/12/2016,15.9504978,16.65079773,17.32515752,18.84201955,19.93894666,21.76804956,30.16102939,39.78507764,48.74679234,55.68767055,60.08746199,63.00140951,65.02320746,66.40888555,66.64414483,65.81082581,65.42251664,64.48813159,60.28792328,57.71268639,54.10983147,51.40057295,49.66008899
13/12/2016,15.87798256,16.62667568,17.30111318,18.82806652,19.92790027,21.74570552,30.13394654,39.70777269,48.74679234,55.67457873,60.07875459,62.99560731,65.00951847,66.40888555,66.64414483,65.81184679,65.42362081,64.48813159,60.28792328,57.71872608,54.11057062,51.40105797,49.65995939
12/12/2016,15.85380875,16.62667568,17.30111318,18.81410248,19.91684395,21.72335624,30.10685958,39.68200228,48.74679234,55.67457873,60.07004589,62.98980462,65.00495452,66.40546362,66.64414483,65.81286752,65.42472477,64.49490302,60.29195843,57.72073927,54.11130977,51.40154299,49.65995939
12/09/2016,15.7812817,16.53016562,17.20490335,18.77214436,19.90577769,21.70100175,30.0526734,39.60468481,48.64315495,55.62219691,60.04391197,62.98400146,64.99125983,66.40203776,66.649438,65.813888,65.42693206,64.50167332,60.29599305,57.72677871,54.11278806,51.402028,49.659441
12/08/2016,15.7812817,16.50603283,17.18084296,18.75813636,19.8725193,21.63390709,30.0526734,39.60468481,48.62242282,55.60909781,60.03519806,62.96658907,64.99125983,66.40089493,66.65049569,65.81694797,65.42693206,64.50392984,60.29733781,57.72677871,54.11278806,51.40348303,49.6593114
12/07/2016,15.7812817,16.48189802,17.15677948,18.74411739,19.8614133,21.61153187,29.97136363,39.60468481,48.60168916,55.59599725,60.02648284,62.96078398,64.99125983,66.40089493,66.65155307,65.81796746,65.43024144,64.50392984,60.29733781,57.72677871,54.11500546,51.40396803,49.65918181
12/06/2016,15.70874705,16.45776122,17.13271294,18.73008746,19.85029736,21.58915152,29.94425229,39.527358,48.60168916,55.58289524,60.01776632,62.9549784,64.97756088,66.40089493,66.65155307,65.8189867,65.43134414,64.50392984,60.29733781,57.73281797,54.11574459,51.40445302,49.65905221
